flair,topic,likeliness
AskIndia,topic-1,100
AskIndia,topic-2,82
AskIndia,topic-7,42
AskIndia,topic-5,35
AskIndia,topic-3,33
AskIndia,topic-11,31
AskIndia,topic-8,29
AskIndia,topic-4,21
AskIndia,topic-10,19
AskIndia,topic-17,17
AskIndia,topic-13,16
AskIndia,topic-6,12
AskIndia,topic-21,12
AskIndia,topic-19,11
AskIndia,topic-18,8
AskIndia,topic-23,8
AskIndia,topic-16,8
AskIndia,topic-25,4
AskIndia,topic-14,4
AskIndia,topic-12,4
AskIndia,topic-24,4
AskIndia,topic-9,3
AskIndia,topic-22,3
AskIndia,topic-15,2
AskIndia,topic-20,1
Business/Finance,topic-2,100
Business/Finance,topic-1,91
Business/Finance,topic-6,65
Business/Finance,topic-5,65
Business/Finance,topic-7,61
Business/Finance,topic-3,48
Business/Finance,topic-10,48
Business/Finance,topic-21,42
Business/Finance,topic-4,38
Business/Finance,topic-11,22
Business/Finance,topic-17,21
Business/Finance,topic-18,20
Business/Finance,topic-19,18
Business/Finance,topic-24,17
Business/Finance,topic-13,16
Business/Finance,topic-8,13
Business/Finance,topic-16,12
Business/Finance,topic-12,12
Business/Finance,topic-9,12
Business/Finance,topic-14,6
Business/Finance,topic-15,5
Business/Finance,topic-25,5
Business/Finance,topic-22,5
Business/Finance,topic-23,3
Business/Finance,topic-20,0
Coronavirus,topic-4,100
Coronavirus,topic-1,86
Coronavirus,topic-2,77
Coronavirus,topic-5,56
Coronavirus,topic-7,41
Coronavirus,topic-8,39
Coronavirus,topic-10,32
Coronavirus,topic-21,21
Coronavirus,topic-6,20
Coronavirus,topic-13,18
Coronavirus,topic-11,14
Coronavirus,topic-3,11
Coronavirus,topic-19,10
Coronavirus,topic-17,10
Coronavirus,topic-18,8
Coronavirus,topic-16,8
Coronavirus,topic-12,4
Coronavirus,topic-23,4
Coronavirus,topic-25,4
Coronavirus,topic-15,2
Coronavirus,topic-22,2
Coronavirus,topic-9,2
Coronavirus,topic-24,2
Coronavirus,topic-14,1
Coronavirus,topic-20,0
NonPolitical,topic-1,100
NonPolitical,topic-2,89
NonPolitical,topic-7,55
NonPolitical,topic-5,47
NonPolitical,topic-10,31
NonPolitical,topic-4,30
NonPolitical,topic-8,28
NonPolitical,topic-3,28
NonPolitical,topic-11,26
NonPolitical,topic-6,21
NonPolitical,topic-21,19
NonPolitical,topic-17,15
NonPolitical,topic-13,15
NonPolitical,topic-19,12
NonPolitical,topic-18,9
NonPolitical,topic-16,9
NonPolitical,topic-25,5
NonPolitical,topic-12,5
NonPolitical,topic-23,5
NonPolitical,topic-22,4
NonPolitical,topic-24,4
NonPolitical,topic-14,4
NonPolitical,topic-15,3
NonPolitical,topic-9,3
NonPolitical,topic-20,1
Policy/Economy,topic-2,100
Policy/Economy,topic-1,88
Policy/Economy,topic-5,51
Policy/Economy,topic-7,47
Policy/Economy,topic-4,43
Policy/Economy,topic-10,37
Policy/Economy,topic-21,30
Policy/Economy,topic-6,30
Policy/Economy,topic-18,22
Policy/Economy,topic-11,17
Policy/Economy,topic-8,15
Policy/Economy,topic-3,14
Policy/Economy,topic-24,10
Policy/Economy,topic-19,10
Policy/Economy,topic-17,9
Policy/Economy,topic-13,9
Policy/Economy,topic-15,7
Policy/Economy,topic-22,6
Policy/Economy,topic-12,6
Policy/Economy,topic-25,6
Policy/Economy,topic-16,5
Policy/Economy,topic-9,3
Policy/Economy,topic-23,2
Policy/Economy,topic-20,1
Policy/Economy,topic-14,1
Politics,topic-1,100
Politics,topic-2,93
Politics,topic-5,58
Politics,topic-7,45
Politics,topic-4,39
Politics,topic-10,34
Politics,topic-21,32
Politics,topic-8,30
Politics,topic-6,22
Politics,topic-11,18
Politics,topic-3,13
Politics,topic-18,10
Politics,topic-17,9
Politics,topic-19,9
Politics,topic-13,9
Politics,topic-25,5
Politics,topic-12,5
Politics,topic-16,4
Politics,topic-22,3
Politics,topic-15,3
Politics,topic-24,3
Politics,topic-23,2
Politics,topic-9,2
Politics,topic-14,2
Politics,topic-20,1
Science/Technology,topic-1,100
Science/Technology,topic-2,98
Science/Technology,topic-7,73
Science/Technology,topic-5,60
Science/Technology,topic-10,56
Science/Technology,topic-4,39
Science/Technology,topic-6,38
Science/Technology,topic-3,33
Science/Technology,topic-21,32
Science/Technology,topic-11,30
Science/Technology,topic-19,20
Science/Technology,topic-17,19
Science/Technology,topic-8,17
Science/Technology,topic-14,17
Science/Technology,topic-18,17
Science/Technology,topic-13,14
Science/Technology,topic-15,11
Science/Technology,topic-12,10
Science/Technology,topic-16,10
Science/Technology,topic-9,8
Science/Technology,topic-22,5
Science/Technology,topic-25,5
Science/Technology,topic-23,5
Science/Technology,topic-24,3
Science/Technology,topic-20,3
[R]eddiquette,topic-1,100
[R]eddiquette,topic-2,85
[R]eddiquette,topic-7,45
[R]eddiquette,topic-5,42
[R]eddiquette,topic-8,31
[R]eddiquette,topic-3,28
[R]eddiquette,topic-11,26
[R]eddiquette,topic-4,25
[R]eddiquette,topic-10,23
[R]eddiquette,topic-13,15
[R]eddiquette,topic-17,15
[R]eddiquette,topic-6,15
[R]eddiquette,topic-21,15
[R]eddiquette,topic-19,11
[R]eddiquette,topic-18,8
[R]eddiquette,topic-16,8
[R]eddiquette,topic-23,6
[R]eddiquette,topic-25,5
[R]eddiquette,topic-12,5
[R]eddiquette,topic-24,4
[R]eddiquette,topic-22,3
[R]eddiquette,topic-15,3
[R]eddiquette,topic-14,3
[R]eddiquette,topic-9,3
[R]eddiquette,topic-20,1
