date,flair,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25
2017-01-31,AskIndia,2583,1061,568,1082,355,1232,856,100,529,1018,127,527,153,110,222,601,281,335,38,355,100,274,119,124,234
2017-02-28,AskIndia,2380,1017,568,1001,350,1177,832,84,426,929,132,538,104,90,254,570,196,300,39,350,72,283,114,112,217
2017-03-31,AskIndia,2366,956,557,972,370,1159,723,75,516,926,103,507,131,82,239,522,274,307,27,355,69,255,143,123,209
2017-04-30,AskIndia,2326,934,554,1018,320,1193,887,93,503,931,113,524,126,72,213,532,250,333,28,320,69,265,119,101,198
2017-05-31,AskIndia,2612,1186,566,1129,415,1319,956,94,537,1022,164,579,142,115,249,598,280,386,46,361,111,276,134,161,254
2017-06-30,AskIndia,2496,934,569,1041,378,1203,749,80,543,963,102,461,147,82,206,574,264,297,36,374,67,256,155,121,234
2017-07-31,AskIndia,2366,867,535,979,362,1176,762,84,519,892,131,452,130,84,224,532,294,298,28,348,60,222,147,102,196
2017-08-31,AskIndia,2913,1111,704,1231,422,1374,1000,98,581,1076,130,603,136,105,272,566,364,375,40,441,115,298,183,162,217
2017-09-30,AskIndia,3008,1169,725,1275,448,1427,987,110,633,1167,139,584,203,114,297,690,436,379,61,406,88,323,196,173,315
2017-10-31,AskIndia,2451,1048,559,1051,350,1235,867,118,508,964,134,542,192,95,263,607,321,308,38,340,101,281,140,111,279
2017-11-30,AskIndia,2853,1095,627,1234,470,1444,992,117,645,1120,166,590,113,91,300,657,249,383,53,385,112,302,164,140,255
2017-12-31,AskIndia,2901,1170,612,1174,397,1526,1032,117,633,1170,145,665,199,113,282,685,324,400,41,371,138,329,143,192,291
2018-01-31,AskIndia,3314,1434,810,1386,471,1645,1153,151,742,1187,164,653,139,103,320,701,362,444,49,467,134,317,202,166,316
2018-02-28,AskIndia,2745,1186,565,1086,365,1367,952,107,539,1114,126,545,163,86,253,597,309,404,55,366,90,307,161,151,266
2018-03-31,AskIndia,3087,1435,634,1170,412,1600,1029,118,649,1207,162,647,155,122,297,665,359,431,32,395,109,346,187,145,286
2018-04-30,AskIndia,3054,1359,671,1328,364,1485,1065,121,620,1181,147,644,200,126,278,712,284,396,52,369,117,352,167,150,318
2018-05-31,AskIndia,1271,617,286,547,184,611,445,45,233,460,60,243,67,40,140,267,125,149,18,154,60,109,64,56,115
2018-06-30,AskIndia,1517,658,370,705,236,847,536,85,343,623,85,355,83,50,168,328,139,198,35,230,61,168,77,77,167
2018-07-31,AskIndia,2470,1080,646,1056,417,1317,832,93,591,1000,115,512,115,108,243,522,257,315,42,383,87,265,106,122,206
2018-08-31,AskIndia,2097,809,523,1051,353,1163,675,80,548,855,109,439,111,70,207,415,173,262,32,344,86,215,118,83,192
2018-09-30,AskIndia,1777,718,401,725,274,924,587,83,517,691,93,334,105,70,201,410,184,272,31,283,61,140,98,91,209
2018-10-31,AskIndia,2316,851,581,1018,345,1221,835,112,705,812,112,426,99,88,233,437,200,296,42,372,102,174,104,127,216
2018-11-30,AskIndia,2342,901,624,1051,400,1284,805,135,771,848,128,424,230,88,239,604,214,305,26,385,131,206,93,114,320
2018-12-31,AskIndia,1954,717,446,802,271,1062,687,77,731,766,84,342,88,75,203,389,189,268,21,281,52,173,110,105,149
2019-01-31,AskIndia,2207,914,589,1002,402,1206,677,102,834,846,118,393,122,68,221,546,206,309,27,418,85,189,61,107,238
2019-02-28,AskIndia,2584,965,667,1129,430,1394,934,98,777,899,101,442,116,69,253,509,270,291,40,412,72,220,106,146,260
2019-03-31,AskIndia,2752,1085,657,1193,471,1498,989,120,710,1028,161,506,136,87,220,587,262,405,49,452,92,245,107,130,278
2019-04-30,AskIndia,2308,1025,494,956,346,1241,836,119,550,911,124,452,107,81,256,544,187,290,43,323,97,248,89,138,247
2019-05-31,AskIndia,2533,1163,605,1104,413,1354,854,94,599,1008,167,532,91,106,270,527,209,359,49,418,88,286,100,144,227
2019-06-30,AskIndia,2493,1103,641,1086,407,1268,866,94,546,908,121,501,125,89,270,546,266,358,32,399,79,278,83,151,230
2019-07-31,AskIndia,2501,1181,593,1032,407,1271,801,130,539,1036,117,525,118,85,267,558,245,384,40,368,106,269,125,132,235
2019-08-31,AskIndia,2255,900,598,983,394,1125,742,84,536,770,128,520,127,72,238,501,222,297,41,392,91,232,120,108,192
2019-09-30,AskIndia,3142,1289,748,1390,441,1625,1113,105,727,1159,135,604,186,124,322,626,283,380,46,460,95,306,113,143,312
2019-10-31,AskIndia,3169,1304,816,1363,539,1579,1108,152,749,1142,194,631,144,101,314,677,279,398,63,487,129,301,155,203,288
2019-11-30,AskIndia,3196,1388,839,1321,517,1573,1183,115,625,1207,193,633,155,92,293,695,337,471,40,431,132,300,122,188,312
2019-12-31,AskIndia,3159,1156,990,1339,448,1606,1228,121,728,1122,164,559,117,77,270,610,357,376,41,501,115,288,135,179,247
2020-01-31,AskIndia,2543,992,727,1114,439,1321,870,78,613,931,135,465,79,95,222,504,216,358,36,475,105,219,75,147,197
2020-02-29,AskIndia,2860,1120,741,1192,474,1402,1050,134,663,1090,141,561,117,96,256,580,239,420,56,419,137,286,120,169,264
2020-03-31,AskIndia,3675,1293,1488,1702,536,1789,1514,147,829,1167,145,778,130,78,384,679,314,469,44,524,118,314,154,200,276
2020-04-30,AskIndia,3661,1220,1558,1825,491,1898,1595,144,923,1268,161,700,146,105,353,729,373,468,50,532,135,296,153,170,296
2017-01-31,Business/Finance,281,54,82,173,90,158,18,14,130,87,10,24,29,17,13,31,68,28,2,91,5,7,59,18,27
2017-02-28,Business/Finance,243,34,83,153,95,127,12,9,112,43,19,21,16,11,9,17,62,37,2,86,9,5,50,19,16
2017-03-31,Business/Finance,479,99,160,293,163,271,39,23,195,85,12,41,29,19,22,45,102,45,2,162,16,10,96,28,47
2017-04-30,Business/Finance,392,88,140,337,147,252,42,36,174,74,16,36,30,12,35,60,71,39,1,144,16,5,46,23,57
2017-05-31,Business/Finance,511,105,174,399,177,315,77,33,213,129,26,58,33,14,29,80,75,64,2,177,34,15,78,17,65
2017-06-30,Business/Finance,578,94,210,417,222,318,43,24,241,94,26,46,36,22,41,56,112,65,3,217,23,9,78,22,63
