flair,word,count,topic
AskIndia,india,10916,topic-1
AskIndia,like,9825,topic-1
AskIndia,im,8654,topic-1
AskIndia,would,8427,topic-1
AskIndia,get,8135,topic-1
AskIndia,know,7841,topic-1
AskIndia,people,7310,topic-1
AskIndia,dont,7050,topic-1
AskIndia,indian,6602,topic-1
AskIndia,one,6186,topic-1
AskIndia,want,5854,topic-1
AskIndia,help,5544,topic-1
AskIndia,need,5275,topic-1
AskIndia,also,5245,topic-1
AskIndia,time,4413,topic-1
AskIndia,even,4281,topic-1
AskIndia,new,2888,topic-1
AskIndia,make,2879,topic-1
AskIndia,year,2658,topic-1
AskIndia,day,2095,topic-1
AskIndia,say,1542,topic-1
AskIndia,government,1410,topic-1
AskIndia,modi,426,topic-1
AskIndia,removed,118,topic-1
AskIndia,deleted,53,topic-1
Business/Finance,india,4271,topic-1
Business/Finance,indian,1276,topic-1
Business/Finance,new,706,topic-1
Business/Finance,get,671,topic-1
Business/Finance,one,533,topic-1
Business/Finance,like,498,topic-1
Business/Finance,make,482,topic-1
Business/Finance,know,458,topic-1
Business/Finance,need,454,topic-1
Business/Finance,people,398,topic-1
Business/Finance,also,389,topic-1
Business/Finance,time,389,topic-1
Business/Finance,would,369,topic-1
Business/Finance,help,364,topic-1
Business/Finance,dont,330,topic-1
Business/Finance,year,321,topic-1
Business/Finance,want,314,topic-1
Business/Finance,government,281,topic-1
Business/Finance,im,273,topic-1
Business/Finance,even,239,topic-1
Business/Finance,day,221,topic-1
Business/Finance,modi,151,topic-1
Business/Finance,say,91,topic-1
Business/Finance,removed,7,topic-1
Business/Finance,deleted,3,topic-1
Coronavirus,india,1840,topic-1
Coronavirus,people,1445,topic-1
Coronavirus,like,508,topic-1
Coronavirus,government,505,topic-1
Coronavirus,get,478,topic-1
Coronavirus,indian,421,topic-1
Coronavirus,dont,415,topic-1
Coronavirus,even,409,topic-1
Coronavirus,one,395,topic-1
Coronavirus,time,387,topic-1
Coronavirus,help,385,topic-1
Coronavirus,know,376,topic-1
Coronavirus,also,338,topic-1
Coronavirus,would,317,topic-1
Coronavirus,modi,301,topic-1
Coronavirus,need,301,topic-1
Coronavirus,new,243,topic-1
Coronavirus,day,229,topic-1
Coronavirus,make,214,topic-1
Coronavirus,im,208,topic-1
Coronavirus,want,151,topic-1
Coronavirus,say,140,topic-1
Coronavirus,year,47,topic-1
Coronavirus,removed,5,topic-1
Coronavirus,deleted,3,topic-1
NonPolitical,india,14172,topic-1
NonPolitical,indian,8766,topic-1
NonPolitical,people,6430,topic-1
NonPolitical,like,6355,topic-1
NonPolitical,one,5668,topic-1
NonPolitical,get,5483,topic-1
NonPolitical,dont,5168,topic-1
NonPolitical,know,4636,topic-1
NonPolitical,would,4112,topic-1
NonPolitical,even,3889,topic-1
NonPolitical,im,3706,topic-1
NonPolitical,new,3703,topic-1
NonPolitical,time,3637,topic-1
NonPolitical,also,3198,topic-1
NonPolitical,day,3116,topic-1
NonPolitical,need,2885,topic-1
NonPolitical,want,2854,topic-1
NonPolitical,help,2810,topic-1
NonPolitical,make,2725,topic-1
NonPolitical,year,2249,topic-1
NonPolitical,say,1543,topic-1
NonPolitical,government,1502,topic-1
NonPolitical,modi,1008,topic-1
NonPolitical,removed,177,topic-1
NonPolitical,deleted,72,topic-1
Policy/Economy,india,5650,topic-1
Policy/Economy,government,1880,topic-1
Policy/Economy,indian,1863,topic-1
Policy/Economy,new,1066,topic-1
Policy/Economy,people,982,topic-1
Policy/Economy,one,883,topic-1
Policy/Economy,would,827,topic-1
Policy/Economy,like,826,topic-1
Policy/Economy,modi,804,topic-1
Policy/Economy,also,794,topic-1
Policy/Economy,need,708,topic-1
Policy/Economy,get,686,topic-1
Policy/Economy,make,659,topic-1
Policy/Economy,even,636,topic-1
Policy/Economy,time,557,topic-1
Policy/Economy,year,503,topic-1
Policy/Economy,dont,460,topic-1
Policy/Economy,know,419,topic-1
Policy/Economy,help,382,topic-1
Policy/Economy,day,313,topic-1
Policy/Economy,want,312,topic-1
Policy/Economy,say,265,topic-1
Policy/Economy,im,173,topic-1
Policy/Economy,removed,41,topic-1
