topic,word,count
topic-1,also,13386
topic-1,day,8226
topic-1,deleted,252
topic-1,dont,17964
topic-1,even,13162
topic-1,get,19504
topic-1,government,10651
topic-1,help,11558
topic-1,im,15464
topic-1,india,57467
topic-1,indian,27374
topic-1,know,17315
topic-1,like,23638
topic-1,make,9630
topic-1,modi,15023
topic-1,need,12205
topic-1,new,12811
topic-1,one,18944
topic-1,people,24277
topic-1,removed,615
topic-1,say,5568
topic-1,time,12815
topic-1,want,12088
topic-1,would,18186
topic-1,year,7300
topic-2,aadhaar,4079
topic-2,bank,4851
topic-2,day,8226
topic-2,deleted,252
topic-2,dont,17964
topic-2,first,9307
topic-2,get,19504
topic-2,government,10651
topic-2,gst,3344
topic-2,help,11558
topic-2,india,57467
topic-2,indian,27374
topic-2,jio,2520
topic-2,know,17315
topic-2,like,23638
topic-2,modi,15023
topic-2,need,12205
topic-2,new,12811
topic-2,one,18944
topic-2,people,24277
topic-2,say,5568
topic-2,tax,3291
topic-2,time,12815
topic-2,would,18186
topic-2,year,7300
topic-3,best,7844
topic-3,black,1390
topic-3,career,1686
topic-3,coaching,735
topic-3,college,3657
topic-3,company,3790
topic-3,course,1950
topic-3,education,2598
topic-3,exam,1462
topic-3,get,19504
topic-3,good,12299
topic-3,im,15464
topic-3,institute,766
topic-3,job,5435
topic-3,magic,422
topic-3,marketing,925
topic-3,school,3199
topic-3,service,3335
topic-3,specialist,309
topic-3,student,2721
topic-3,top,5227
topic-3,training,987
topic-3,vashikaran,286
topic-3,wireless,333
topic-3,year,7300
topic-4,case,6034
topic-4,corona,1161
topic-4,coronavirus,2927
topic-4,country,6376
topic-4,covid,498
topic-4,doctor,1126
topic-4,government,10651
topic-4,hair,748
topic-4,health,2537
topic-4,hospital,1552
topic-4,india,57467
topic-4,insurance,896
topic-4,kit,142
topic-4,lockdown,2091
topic-4,mask,287
topic-4,medical,1822
topic-4,pandemic,473
topic-4,patient,410
topic-4,people,24277
topic-4,positive,1167
topic-4,quarantine,421
topic-4,removed,615
topic-4,test,1772
topic-4,testing,777
topic-4,virus,1131
topic-5,business,3505
topic-5,challenge,920
topic-5,daily,1932
topic-5,day,8226
topic-5,deleted,252
topic-5,discord,189
topic-5,employee,510
topic-5,free,4873
topic-5,help,11558
topic-5,india,57467
topic-5,indian,27374
topic-5,job,5435
topic-5,lockdown,2091
topic-5,modi,15023
topic-5,new,12811
topic-5,np,36
topic-5,people,24277
topic-5,post,4998
topic-5,prep,154
topic-5,randians,1108
topic-5,removed,615
topic-5,rindia,41
topic-5,salary,1207
topic-5,sql,237
topic-5,zomato,412
topic-6,air,3284
topic-6,amritsar,511
topic-6,board,1537
topic-6,car,2135
topic-6,corrugated,182
topic-6,corrugation,267
topic-6,crusher,254
topic-6,die,964
topic-6,electric,688
topic-6,exporter,78
topic-6,india,57467
topic-6,machine,1123
topic-6,making,3585
topic-6,manufacturer,526
topic-6,meter,183
topic-6,paper,1298
topic-6,petrol,740
topic-6,plant,764
topic-6,pollution,1195
topic-6,price,2583
topic-6,ravi,394
topic-6,slag,227
topic-6,sujata,173
topic-6,super,1037
topic-6,water,2824
topic-7,amazon,2649
topic-7,bollywood,1636
topic-7,channel,1224
topic-7,facebook,1978
topic-7,game,1313
topic-7,get,19504
topic-7,hindi,3348
topic-7,hit,1705
topic-7,india,57467
topic-7,indian,27374
topic-7,latest,1666
topic-7,like,23638
topic-7,music,2002
topic-7,netflix,967
topic-7,new,12811
topic-7,please,9172
topic-7,porn,702
topic-7,share,3667
topic-7,social,4074
topic-7,song,1972
topic-7,spotify,454
topic-7,subscribe,555
topic-7,tv,2722
topic-7,video,5277
topic-7,youtube,1981
topic-8,banging,67
topic-8,bhakt,282
